split,source_db,step_idx_retro,rxn_idx,mech_smi
train,pmechdb_split_0,0,0,"OCC=CCC1=C([NH2:1])C=CC=C1.[N:2]#[O+:3]|(1, 2);((2, 3), 3)"
train,pmechdb_split_0,0,1,"C1CC[NH:1]CC1.O=C(CNC(=O)OC[C:2]1([H:3])C2=C(C=CC=C2)C2=C1C=CC=C2)NC1=CC=C(Cl)C=C1I|(1, 3);((3, 2), 2)"
train,pmechdb_split_0,0,2,"C[C:1](N)([O-:2])[O:3]C|(2, 1);((1, 3), 3)"
train,pmechdb_split_0,0,3,"C1=CC=C([CH2:1][Br:2])C=C1.CCC[NH2:3]|(3, 1);((1, 2), 2)"
train,pmechdb_split_0,0,4,"C=[C+:1][CH2:2][Si-:3](C)(C)(C)OS(C)(=O)=O|((3, 2), 1)"
train,pmechdb_split_0,0,5,"CC[C:1](C)(C)[OH2+:2]|((1, 2), 2)"
train,pmechdb_split_0,0,6,"CC(=O)C(NC1([OH:1])CCC2(O)C3CC4=C(C=CC=C4)C2(CCN3C)C1)C(=O)N(CC1=CC=CC=C1)C(C)C.CC(=O)[O:2][H:3]|(1, 3);((3, 2), 2)"
train,pmechdb_split_0,0,7,"CC(CCC1CCCC1)[O+:1](S([O-])(Cl)Cl)[H:2].CC(CCC1CCCC1)[OH:3]|(3, 2);((2, 1), 1)"
train,pmechdb_split_0,0,8,"CCOC(=O)NN=C(O)OCC.CCOC(=O)NNC(=O)OCC.N#C[CH:1](C1=CC=CC=C1)[O:2][P+:3](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.O=C(CC1=CC=C([N+](=O)[O-])C=C1)[O-:4]|(4, 1);((1, 2), 3)"
train,pmechdb_split_0,0,9,"C[CH:1]=[C:2](C)[O-:3].C[CH:4](C)[Br:5]|(3, 2);((2, 1), 4);((4, 5), 5)"
train,pmechdb_split_0,0,10,"CC1([O-:1])CCCC(=O)C1.CC[O:2][H:3]|(1, 3);((3, 2), 2)"
train,pmechdb_split_0,0,11,"CO[C:1](=[CH:2][CH:3]=[CH2:4])[O-:5]|(5, 1);((1, 2), 3);((3, 4), 4)"
train,pmechdb_split_0,0,12,"C[OH:1].Cl[C:2](C1=CC=CC=C1)=[O:3]|(1, 2);((2, 3), 3)"
train,pmechdb_split_0,0,13,"C[P+](C)(C)[CH:1]=[CH2:2].[OH-:3]|(3, 2);((2, 1), 1)"
train,pmechdb_split_0,0,14,"C1CC[CH:1]([OH2+:2])CC1.C=CC#N.O|((1, 2), 2)"
train,pmechdb_split_0,0,15,"C[O+]([B-](C)(C)C)[Si-:1](C)(C)(C)[CH2:2][CH+:3]C|((1, 2), 3)"
train,pmechdb_split_0,0,16,"CCO.NC1=N[C:1]([NH2:2])=[C:3]([CH:4](Cl)[Cl:5])C=C1.O.[Na+]|(2, 1);((1, 3), 4);((4, 5), 5)"
train,pmechdb_split_0,0,17,"CC(CC(=O)C1=C(F)C=CC=C1)(C1=C(F)C=CC=C1)[O-:1].[H:2][OH2+:3]|(1, 2);((2, 3), 3)"
train,pmechdb_split_0,0,18,"CCOCCC(N)=[O+:1][H:2].O=S(=O)(O)[O-:3]|(3, 2);((2, 1), 1)"
train,pmechdb_split_0,0,19,"CC(C)[CH2:1][Br:2].[CH2:3]=[CH:4][O-:5]|(5, 4);((4, 3), 1);((1, 2), 2)"
train,pmechdb_split_0,0,20,"CC(=O)[O-:1].CO[Si:2](C)(C)C|(1, 2)"
train,pmechdb_split_0,0,21,"CCCCO[Si](C)(C)C.CCCC[O][Ti-:1]([O]CCCC)([O]CCCC)([O]CCCC)[OH+:2]C(C=CC=CI)CC(C)=CC(=O)OC.[OH-]|((1, 2), 2)"
train,pmechdb_split_0,0,22,"C[C:1](C)([NH:2]C)[OH2+:3].[Cl-]|(2, 1);((1, 3), 3)"
train,pmechdb_split_0,0,23,"C[C:1](C)([Cl:2])[Cl:3]|(2, 1);((1, 3), 3)"
train,pmechdb_split_0,0,24,"CO[C:1](OC)=[O:2].C[O-:3]|(3, 1);((1, 2), 2)"
train,pmechdb_split_0,0,25,"CCOC(=O)CCC(C)(O)[O+:1](CC)[H:2].O=S(=O)(O)[O-:3]|(3, 2);((2, 1), 1)"
train,pmechdb_split_0,0,26,"CC(=O)O[I:1]1(OC(C)=O)([O:2]C(C)=O)OC(=O)C2=C1C=CC=C2|((1, 2), 2)"
train,pmechdb_split_0,0,27,"CN(C)[C:1]([CH2:2][H:3])=[O:4].[NH2-:5]|(5, 3);((3, 2), 1);((1, 4), 4)"
train,pmechdb_split_0,0,28,"C=CC(C)=O.CO[C:1]([C:2]1=[CH:3][CH:4]([H:5])CC(CC(C)C)CC1=O)=[O:6].C[O-:7].[H][H].[Na+]|(7, 5);((5, 4), 3);((3, 2), 1);((1, 6), 6)"
train,pmechdb_split_0,0,29,"CCOC(=O)N[N:1]([C:2](OCC)=[OH+:3])[P:4](OCC(C(=O)[O-])C(CCCCC1=CC=CC=C1)OC1=CC=C(OC)C=C1)(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1|((4, 1), 2);((2, 3), 3)"
train,pmechdb_split_0,0,30,"CCC=[CH:1][Mg:2][Br].COC(=O)C(Cl)[N:3](C(=O)OCC1=CC=CC=C1)[H:4]|((2, 1), 4);((4, 3), 3)"
train,pmechdb_split_0,0,31,"C[O:1]C.C[Si:2](C)(C)Cl|(1, 2)"
train,pmechdb_split_0,0,32,"C[C+:1](C)C.C[Si](C)(C)C=[C:2]=[CH2:3]|((2, 3), 1)"
train,pmechdb_split_0,0,33,"CC[O+:1](C(OC)C(C)C)[H:2].O=S(=O)(O)[O-:3]|(3, 2);((2, 1), 1)"
train,pmechdb_split_0,0,34,"CO.COC(CC1=CC(Br)=CC=C1)=[O+:1][H:2].[Cl-].[OH2:3]|(3, 2);((2, 1), 1)"
train,pmechdb_split_0,0,35,"C[C:1](C)=[O+:2]C.[OH2:3]|(3, 1);((1, 2), 2)"
train,pmechdb_split_0,0,36,"C=C1CCCCC1(CC(CC)[OH:1])C[C:2](O)=[OH+:3]|(1, 2);((2, 3), 3)"
train,pmechdb_split_0,0,37,"CCC(C)I.CCCCCCC#C[CH:1]1[CH:2]([Li:3])CCC[O:4]1|((3, 2), 1);((1, 4), 4)"
train,pmechdb_split_0,0,38,"CCOCC(=O)NC1=C(NCC(C)(C)O)C2=C(C=CC=C2)[N-:1][C:2]1([NH3+])[Cl:3]|(1, 2);((2, 3), 3)"
train,pmechdb_split_0,0,39,"CC1=CC=C(S(=O)(=O)[O-])C=C1.CCC1=CC(C)=C([S+:1]2C[CH:2]2C)C(C)=C1.CO.[NH3:3]|(3, 2);((2, 1), 1)"
